訂單編號,路線代碼,司機代碼,預計到達,實際到達,客戶時窗起,客戶時窗迄,貨損旗標,客戶緯度,客戶經度
DLV-20250901-00019,R-01,D-11,2025-09-01 11:08:00,2025-09-01 11:16:45,2025-09-01 10:38:00,2025-09-01 11:38:00,0,24.10821,120.68721
DLV-20250901-00020,R-02,D-01,2025-09-01 17:48:00,2025-09-01 18:48:00,2025-09-01 16:23:00,2025-09-01 19:13:00,0,24.18373,120.61487
DLV-20250901-00021,R-02,D-12,2025-09-01 16:07:00,2025-09-01 17:03:00,2025-09-01 14:51:00,2025-09-01 17:23:00,0,24.15705,120.63206
DLV-20250901-00022,R-02,D-01,2025-09-01 18:14:00,2025-09-01 18:41:09,2025-09-01 17:58:00,2025-09-01 18:30:00,0,24.20243,120.65377
DLV-20250901-00023,R-02,D-01,2025-09-01 17:15:00,2025-09-01 17:12:32,2025-09-01 16:56:00,2025-09-01 17:34:00,0,24.20059,120.6311
DLV-20250901-00024,R-02,D-01,2025-09-01 16:51:00,2025-09-01 17:04:36,2025-09-01 16:23:00,2025-09-01 17:19:00,0,24.13775,120.61948
DLV-20250901-00025,R-02,D-02,2025-09-01 15:29:00,2025-09-01 15:31:37,2025-09-01 15:11:00,2025-09-01 15:47:00,0,24.18826,120.64905
DLV-20250901-00026,R-02,D-01,2025-09-01 12:12:00,2025-09-01 12:08:58,2025-09-01 11:51:00,2025-09-01 12:33:00,0,24.14121,120.59968
DLV-20250901-00027,R-02,D-02,2025-09-01 12:55:00,2025-09-01 13:06:30,2025-09-01 12:37:00,2025-09-01 13:13:00,0,24.20994,120.65188
DLV-20250901-00028,R-02,D-01,2025-09-01 12:10:00,2025-09-01 12:03:58,2025-09-01 11:42:00,2025-09-01 12:38:00,0,24.1471,120.61708
DLV-20250901-00029,R-02,D-01,2025-09-01 11:24:00,2025-09-01 11:35:56,2025-09-01 10:55:00,2025-09-01 11:53:00,0,24.18573,120.64344
DLV-20250901-00030,R-02,D-12,2025-09-01 19:45:00,2025-09-01 19:49:55,2025-09-01 19:24:00,2025-09-01 20:06:00,0,24.17633,120.62838
DLV-20250901-00031,R-02,D-12,2025-09-01 14:03:00,2025-09-01 14:03:39,2025-09-01 13:47:00,2025-09-01 14:19:00,0,24.17023,120.65322
DLV-20250901-00032,R-02,D-01,2025-09-01 09:32:00,2025-09-01 09:38:44,2025-09-01 09:15:00,2025-09-01 09:49:00,0,24.14882,120.59459
DLV-20250901-00033,R-02,D-12,2025-09-01 12:37:00,2025-09-01 12:40:42,2025-09-01 12:21:00,2025-09-01 12:53:00,0,24.16354,120.63169
DLV-20250901-00034,R-02,D-12,2025-09-01 14:59:00,2025-09-01 14:57:47,2025-09-01 14:34:00,2025-09-01 15:24:00,0,24.16166,120.63874
DLV-20250901-00035,R-02,D-02,2025-09-01 16:20:00,2025-09-01 16:37:49,2025-09-01 16:03:00,2025-09-01 16:37:00,1,24.17969,120.63004
DLV-20250901-00036,R-02,D-01,2025-09-01 10:34:00,2025-09-01 10:36:09,2025-09-01 10:08:00,2025-09-01 11:00:00,0,24.20034,120.61456
DLV-20250901-00037,R-02,D-01,2025-09-01 16:53:00,2025-09-01 17:02:10,2025-09-01 16:29:00,2025-09-01 17:17:00,0,24.20898,120.63732
DLV-20250901-00038,R-02,D-01,2025-09-01 19:52:00,2025-09-01 19:29:55,2025-09-01 19:34:00,2025-09-01 20:10:00,0,24.14074,120.59423
DLV-20250901-00039,R-02,D-01,2025-09-01 17:09:00,2025-09-01 17:06:42,2025-09-01 16:44:00,2025-09-01 17:34:00,0,24.18074,120.60612
DLV-20250901-00040,R-02,D-02,2025-09-01 13:57:00,2025-09-01 14:13:11,2025-09-01 13:41:00,2025-09-01 14:13:00,0,24.16389,120.60713
DLV-20250901-00041,R-02,D-01,2025-09-01 14:49:00,2025-09-01 15:11:49,2025-09-01 14:29:00,2025-09-01 15:09:00,0,24.17413,120.61921
DLV-20250901-00042,R-02,D-01,2025-09-01 10:04:00,2025-09-01 10:28:33,2025-09-01 09:45:00,2025-09-01 10:23:00,0,24.19677,120.6316
DLV-20250901-00043,R-02,D-01,2025-09-01 15:08:00,2025-09-01 15:19:02,2025-09-01 14:52:00,2025-09-01 15:24:00,0,24.14681,120.60496
DLV-20250901-00044,R-03,D-07,2025-09-01 17:56:00,2025-09-01 18:52:15,2025-09-01 17:37:00,2025-09-01 18:15:00,0,24.05894,120.553
DLV-20250901-00045,R-03,D-03,2025-09-01 15:01:00,2025-09-01 16:13:30,2025-09-01 14:33:00,2025-09-01 15:29:00,0,24.10913,120.60486
DLV-20250901-00046,R-03,D-07,2025-09-01 11:50:00,2025-09-01 12:21:09,2025-09-01 11:29:00,2025-09-01 12:11:00,0,24.07682,120.56442
DLV-20250901-00047,R-03,D-03,2025-09-01 12:01:00,2025-09-01 12:26:09,2025-09-01 11:38:00,2025-09-01 12:24:00,0,24.11735,120.56233
DLV-20250901-00048,R-03,D-07,2025-09-01 19:53:00,2025-09-01 20:01:51,2025-09-01 19:33:00,2025-09-01 20:13:00,0,24.11868,120.54306
DLV-20250901-00049,R-03,D-07,2025-09-01 14:46:00,2025-09-01 15:42:24,2025-09-01 14:28:00,2025-09-01 15:04:00,0,24.08613,120.56038
DLV-20250901-00050,R-03,D-07,2025-09-01 09:33:00,2025-09-01 10:15:23,2025-09-01 09:12:00,2025-09-01 09:54:00,0,24.0456,120.59314
DLV-20250901-00051,R-03,D-07,2025-09-01 18:20:00,2025-09-01 18:45:53,2025-09-01 17:52:00,2025-09-01 18:48:00,0,24.09578,120.58435
DLV-20250901-00052,R-03,D-03,2025-09-01 15:42:00,2025-09-01 16:24:36,2025-09-01 15:22:00,2025-09-01 16:02:00,0,24.06408,120.58383
DLV-20250901-00053,R-03,D-03,2025-09-01 13:18:00,2025-09-01 13:47:54,2025-09-01 12:53:00,2025-09-01 13:43:00,0,24.07537,120.5571
DLV-20250901-00054,R-03,D-07,2025-09-01 11:42:00,2025-09-01 13:02:51,2025-09-01 11:17:00,2025-09-01 12:07:00,0,24.11616,120.55879
DLV-20250901-00055,R-03,D-07,2025-09-01 12:51:00,2025-09-01 13:35:17,2025-09-01 12:34:00,2025-09-01 13:08:00,0,24.11089,120.58605
DLV-20250901-00056,R-03,D-07,2025-09-01 16:25:00,2025-09-01 17:31:07,2025-09-01 16:10:00,2025-09-01 16:40:00,0,24.10884,120.61084
DLV-20250901-00057,R-03,D-07,2025-09-01 12:11:00,2025-09-01 12:25:23,2025-09-01 11:53:00,2025-09-01 12:29:00,0,24.10411,120.59341
DLV-20250901-00058,R-03,D-07,2025-09-01 16:39:00,2025-09-01 17:19:27,2025-09-01 16:11:00,2025-09-01 17:07:00,0,24.08383,120.61178
DLV-20250901-00059,R-03,D-07,2025-09-01 16:16:00,2025-09-01 16:25:10,2025-09-01 15:46:00,2025-09-01 16:46:00,0,24.06197,120.5462
DLV-20250901-00060,R-03,D-07,2025-09-01 12:17:00,2025-09-01 13:15:43,2025-09-01 12:00:00,2025-09-01 12:34:00,0,24.0585,120.59552
DLV-20250901-00061,R-03,D-03,2025-09-01 10:26:00,2025-09-01 10:53:44,2025-09-01 09:58:00,2025-09-01 10:54:00,0,24.10663,120.57116
DLV-20250901-00062,R-03,D-03,2025-09-01 18:24:00,2025-09-01 18:37:16,2025-09-01 17:56:00,2025-09-01 18:52:00,0,24.09877,120.60399
DLV-20250901-00063,R-04,D-04,2025-09-01 12:17:00,2025-09-01 13:21:00,2025-09-01 10:43:00,2025-09-01 13:51:00,0,24.14111,120.71351
DLV-20250901-00064,R-04,D-04,2025-09-01 11:53:00,2025-09-01 12:41:00,2025-09-01 10:35:00,2025-09-01 13:11:00,0,24.15735,120.71304
DLV-20250901-00065,R-04,D-02,2025-09-01 19:27:00,2025-09-01 19:39:56,2025-09-01 19:11:00,2025-09-01 19:43:00,0,24.13619,120.69638
DLV-20250901-00066,R-04,D-04,2025-09-01 15:17:00,2025-09-01 15:27:03,2025-09-01 14:49:00,2025-09-01 15:45:00,0,24.11655,120.66155
DLV-20250901-00067,R-04,D-11,2025-09-01 09:22:00,2025-09-01 09:22:43,2025-09-01 09:06:00,2025-09-01 09:38:00,0,24.18597,120.67595
DLV-20250901-00068,R-04,D-02,2025-09-01 18:09:00,2025-09-01 18:21:52,2025-09-01 17:51:00,2025-09-01 18:27:00,0,24.12744,120.71596
DLV-20250901-00069,R-04,D-04,2025-09-01 11:38:00,2025-09-01 11:51:33,2025-09-01 11:20:00,2025-09-01 11:56:00,0,24.1231,120.68488
DLV-20250901-00070,R-04,D-11,2025-09-01 09:59:00,2025-09-01 09:52:08,2025-09-01 09:32:00,2025-09-01 10:26:00,0,24.1672,120.66608
DLV-20250901-00071,R-04,D-11,2025-09-01 19:15:00,2025-09-01 19:46:35,2025-09-01 18:57:00,2025-09-01 19:33:00,0,24.15527,120.66329
DLV-20250901-00072,R-04,D-11,2025-09-01 15:42:00,2025-09-01 15:54:20,2025-09-01 15:16:00,2025-09-01 16:08:00,0,24.1618,120.66101
DLV-20250901-00073,R-04,D-04,2025-09-01 16:06:00,2025-09-01 15:55:35,2025-09-01 15:37:00,2025-09-01 16:35:00,0,24.14484,120.7187
DLV-20250901-00074,R-04,D-11,2025-09-01 13:39:00,2025-09-01 13:43:36,2025-09-01 13:09:00,2025-09-01 14:09:00,0,24.17606,120.7074
DLV-20250901-00075,R-04,D-04,2025-09-01 12:53:00,2025-09-01 13:01:53,2025-09-01 12:24:00,2025-09-01 13:22:00,0,24.14718,120.70883
DLV-20250901-00076,R-04,D-04,2025-09-01 14:01:00,2025-09-01 13:57:07,2025-09-01 13:31:00,2025-09-01 14:31:00,0,24.12455,120.67697
DLV-20250901-00077,R-04,D-04,2025-09-01 14:17:00,2025-09-01 14:30:37,2025-09-01 13:54:00,2025-09-01 14:40:00,0,24.15133,120.67528
DLV-20250901-00078,R-04,D-02,2025-09-01 15:31:00,2025-09-01 15:18:15,2025-09-01 15:09:00,2025-09-01 15:53:00,0,24.16167,120.69927
DLV-20250901-00079,R-04,D-02,2025-09-01 10:18:00,2025-09-01 10:21:16,2025-09-01 09:54:00,2025-09-01 10:42:00,0,24.13952,120.70428
DLV-20250901-00080,R-04,D-04,2025-09-01 15:47:00,2025-09-01 16:05:07,2025-09-01 15:22:00,2025-09-01 16:12:00,0,24.1463,120.68453
DLV-20250901-00081,R-04,D-02,2025-09-01 10:46:00,2025-09-01 10:48:08,2025-09-01 10:26:00,2025-09-01 11:06:00,0,24.16909,120.68212
DLV-20250901-00082,R-04,D-11,2025-09-01 17:38:00,2025-09-01 17:43:39,2025-09-01 17:14:00,2025-09-01 18:02:00,0,24.17661,120.6837
DLV-20250901-00083,R-04,D-04,2025-09-01 11:19:00,2025-09-01 11:33:46,2025-09-01 10:56:00,2025-09-01 11:42:00,0,24.11436,120.68337
DLV-20250901-00084,R-05,D-07,2025-09-01 16:06:00,2025-09-01 16:24:36,2025-09-01 15:36:00,2025-09-01 16:36:00,0,24.09226,120.70224
DLV-20250901-00085,R-05,D-05,2025-09-01 16:07:00,2025-09-01 17:00:00,2025-09-01 14:55:00,2025-09-01 17:19:00,0,24.07093,120.67536
DLV-20250901-00086,R-05,D-04,2025-09-01 11:09:00,2025-09-01 12:15:00,2025-09-01 09:33:00,2025-09-01 12:45:00,0,24.07448,120.68616
DLV-20250901-00087,R-05,D-07,2025-09-01 18:50:00,2025-09-01 18:24:48,2025-09-01 18:23:00,2025-09-01 19:17:00,0,24.10042,120.69381
DLV-20250901-00088,R-05,D-05,2025-09-01 13:36:00,2025-09-01 13:24:04,2025-09-01 13:18:00,2025-09-01 13:54:00,0,24.08162,120.64188
DLV-20250901-00089,R-05,D-07,2025-09-01 10:10:00,2025-09-01 10:09:18,2025-09-01 09:50:00,2025-09-01 10:30:00,1,24.10104,120.6725
DLV-20250901-00090,R-05,D-05,2025-09-01 09:14:00,2025-09-01 09:29:10,2025-09-01 08:50:00,2025-09-01 09:38:00,0,24.12124,120.66132
DLV-20250901-00091,R-05,D-07,2025-09-01 12:59:00,2025-09-01 13:21:09,2025-09-01 12:38:00,2025-09-01 13:20:00,0,24.10856,120.67681
DLV-20250901-00092,R-05,D-05,2025-09-01 11:04:00,2025-09-01 11:23:48,2025-09-01 10:40:00,2025-09-01 11:28:00,0,24.1025,120.64933
DLV-20250901-00093,R-05,D-05,2025-09-01 13:32:00,2025-09-01 13:39:47,2025-09-01 13:02:00,2025-09-01 14:02:00,0,24.11284,120.69615
DLV-20250901-00094,R-05,D-07,2025-09-01 14:38:00,2025-09-01 14:51:29,2025-09-01 14:23:00,2025-09-01 14:53:00,0,24.11878,120.64656
DLV-20250901-00095,R-05,D-04,2025-09-01 11:30:00,2025-09-01 11:17:07,2025-09-01 11:07:00,2025-09-01 11:53:00,0,24.11183,120.67578
DLV-20250901-00096,R-05,D-05,2025-09-01 10:30:00,2025-09-01 10:28:27,2025-09-01 10:04:00,2025-09-01 10:56:00,0,24.09068,120.63337
DLV-20250901-00097,R-05,D-04,2025-09-01 14:26:00,2025-09-01 14:22:34,2025-09-01 13:59:00,2025-09-01 14:53:00,0,24.10901,120.66139
DLV-20250901-00098,R-05,D-05,2025-09-01 13:20:00,2025-09-01 13:10:43,2025-09-01 13:02:00,2025-09-01 13:38:00,0,24.09733,120.66617
DLV-20250901-00099,R-05,D-04,2025-09-01 19:55:00,2025-09-01 19:49:41,2025-09-01 19:34:00,2025-09-01 20:16:00,0,24.11481,120.66488
DLV-20250901-00100,R-05,D-05,2025-09-01 09:13:00,2025-09-01 09:12:19,2025-09-01 08:49:00,2025-09-01 09:37:00,0,24.12086,120.63471
DLV-20250901-00101,R-05,D-07,2025-09-01 18:51:00,2025-09-01 19:18:34,2025-09-01 18:36:00,2025-09-01 19:06:00,0,24.07246,120.70438
DLV-20250901-00102,R-05,D-04,2025-09-01 16:07:00,2025-09-01 16:02:50,2025-09-01 15:43:00,2025-09-01 16:31:00,0,24.08687,120.69178
DLV-20250901-00103,R-05,D-05,2025-09-01 12:29:00,2025-09-01 12:23:26,2025-09-01 12:10:00,2025-09-01 12:48:00,0,24.13875,120.66566
DLV-20250901-00104,R-06,D-05,2025-09-01 13:49:00,2025-09-01 14:40:00,2025-09-01 12:43:00,2025-09-01 14:55:00,0,24.23263,120.70388
DLV-20250901-00105,R-06,D-09,2025-09-01 18:42:00,2025-09-01 19:34:00,2025-09-01 17:31:00,2025-09-01 19:53:00,0,24.25415,120.72347
DLV-20250901-00106,R-06,D-06,2025-09-01 14:55:00,2025-09-01 14:55:26,2025-09-01 14:34:00,2025-09-01 15:16:00,0,24.2291,120.71064
DLV-20250901-00107,R-06,D-06,2025-09-01 09:20:00,2025-09-01 09:19:22,2025-09-01 08:53:00,2025-09-01 09:47:00,0,24.2631,120.74566
DLV-20250901-00108,R-06,D-05,2025-09-01 16:02:00,2025-09-01 15:43:15,2025-09-01 15:43:00,2025-09-01 16:21:00,0,24.25721,120.74958
DLV-20250901-00109,R-06,D-06,2025-09-01 10:33:00,2025-09-01 10:34:47,2025-09-01 10:14:00,2025-09-01 10:52:00,0,24.26238,120.69235
DLV-20250901-00110,R-06,D-06,2025-09-01 13:21:00,2025-09-01 13:19:52,2025-09-01 12:54:00,2025-09-01 13:48:00,0,24.27814,120.74819
DLV-20250901-00111,R-06,D-09,2025-09-01 15:20:00,2025-09-01 15:02:27,2025-09-01 14:50:00,2025-09-01 15:50:00,0,24.21287,120.68547
DLV-20250901-00112,R-06,D-09,2025-09-01 19:58:00,2025-09-01 19:47:13,2025-09-01 19:41:00,2025-09-01 20:15:00,0,24.21788,120.7307
DLV-20250901-00113,R-06,D-05,2025-09-01 16:10:00,2025-09-01 16:18:23,2025-09-01 15:46:00,2025-09-01 16:34:00,0,24.21368,120.74369
DLV-20250901-00114,R-06,D-06,2025-09-01 14:23:00,2025-09-01 14:14:51,2025-09-01 13:55:00,2025-09-01 14:51:00,0,24.2734,120.6936
DLV-20250901-00115,R-06,D-05,2025-09-01 18:55:00,2025-09-01 19:01:10,2025-09-01 18:25:00,2025-09-01 19:25:00,0,24.22145,120.71689
DLV-20250901-00116,R-06,D-06,2025-09-01 16:16:00,2025-09-01 16:28:14,2025-09-01 16:01:00,2025-09-01 16:31:00,0,24.24722,120.70301
DLV-20250901-00117,R-06,D-09,2025-09-01 11:04:00,2025-09-01 10:53:40,2025-09-01 10:40:00,2025-09-01 11:28:00,0,24.24394,120.70001
DLV-20250901-00118,R-06,D-06,2025-09-01 12:24:00,2025-09-01 12:27:57,2025-09-01 11:54:00,2025-09-01 12:54:00,0,24.24051,120.70872
DLV-20250901-00119,R-06,D-06,2025-09-01 13:01:00,2025-09-01 13:18:24,2025-09-01 12:38:00,2025-09-01 13:24:00,1,24.27921,120.74226
DLV-20250901-00120,R-06,D-05,2025-09-01 18:47:00,2025-09-01 18:41:44,2025-09-01 18:23:00,2025-09-01 19:11:00,0,24.22841,120.74415
DLV-20250901-00121,R-06,D-05,2025-09-01 19:12:00,2025-09-01 19:15:04,2025-09-01 18:53:00,2025-09-01 19:31:00,0,24.28227,120.73171
DLV-20250901-00122,R-06,D-06,2025-09-01 16:02:00,2025-09-01 15:49:33,2025-09-01 15:36:00,2025-09-01 16:28:00,0,24.21721,120.70361
DLV-20250901-00123,R-06,D-09,2025-09-01 15:11:00,2025-09-01 15:17:24,2025-09-01 14:45:00,2025-09-01 15:37:00,0,24.28308,120.74644
DLV-20250901-00124,R-07,D-10,2025-09-01 13:47:00,2025-09-01 14:40:00,2025-09-01 12:29:00,2025-09-01 15:05:00,0,24.08247,120.72602
DLV-20250901-00125,R-07,D-08,2025-09-01 19:46:00,2025-09-01 20:37:00,2025-09-01 18:35:00,2025-09-01 20:57:00,0,24.07657,120.74116
DLV-20250901-00126,R-07,D-08,2025-09-01 16:23:00,2025-09-01 16:14:38,2025-09-01 15:56:00,2025-09-01 16:50:00,0,24.12022,120.72867
DLV-20250901-00127,R-07,D-08,2025-09-01 16:01:00,2025-09-01 15:45:08,2025-09-01 15:36:00,2025-09-01 16:26:00,0,24.06271,120.72506
DLV-20250901-00128,R-07,D-10,2025-09-01 13:41:00,2025-09-01 13:35:28,2025-09-01 13:25:00,2025-09-01 13:57:00,0,24.08441,120.72778
DLV-20250901-00129,R-07,D-08,2025-09-01 15:29:00,2025-09-01 15:32:35,2025-09-01 15:03:00,2025-09-01 15:55:00,0,24.10445,120.79568
DLV-20250901-00130,R-07,D-10,2025-09-01 18:47:00,2025-09-01 18:41:02,2025-09-01 18:29:00,2025-09-01 19:05:00,0,24.09425,120.79512
DLV-20250901-00131,R-07,D-10,2025-09-01 09:44:00,2025-09-01 09:35:04,2025-09-01 09:22:00,2025-09-01 10:06:00,0,24.05295,120.77485
DLV-20250901-00132,R-07,D-10,2025-09-01 09:25:00,2025-09-01 09:34:26,2025-09-01 09:02:00,2025-09-01 09:48:00,0,24.05477,120.78784
DLV-20250901-00133,R-07,D-10,2025-09-01 10:42:00,2025-09-01 10:46:02,2025-09-01 10:27:00,2025-09-01 10:57:00,0,24.07168,120.79911
DLV-20250901-00134,R-07,D-08,2025-09-01 10:53:00,2025-09-01 11:09:39,2025-09-01 10:32:00,2025-09-01 11:14:00,0,24.11004,120.73864
DLV-20250901-00135,R-07,D-08,2025-09-01 18:00:00,2025-09-01 18:16:17,2025-09-01 17:41:00,2025-09-01 18:19:00,0,24.10888,120.72879
DLV-20250901-00136,R-07,D-08,2025-09-01 11:00:00,2025-09-01 10:46:41,2025-09-01 10:35:00,2025-09-01 11:25:00,1,24.06623,120.73014
DLV-20250901-00137,R-07,D-10,2025-09-01 17:07:00,2025-09-01 17:23:26,2025-09-01 16:50:00,2025-09-01 17:24:00,0,24.10724,120.76106
DLV-20250901-00138,R-07,D-08,2025-09-01 16:32:00,2025-09-01 16:34:56,2025-09-01 16:08:00,2025-09-01 16:56:00,0,24.12212,120.72487
DLV-20250901-00139,R-07,D-10,2025-09-01 15:27:00,2025-09-01 15:43:19,2025-09-01 15:09:00,2025-09-01 15:45:00,0,24.11778,120.72588
DLV-20250901-00140,R-07,D-08,2025-09-01 14:38:00,2025-09-01 14:41:42,2025-09-01 14:13:00,2025-09-01 15:03:00,0,24.09279,120.74359
DLV-20250901-00141,R-07,D-10,2025-09-01 10:50:00,2025-09-01 10:55:00,2025-09-01 10:32:00,2025-09-01 11:08:00,0,24.09707,120.78152
DLV-20250901-00142,R-07,D-08,2025-09-01 15:28:00,2025-09-01 15:37:27,2025-09-01 14:59:00,2025-09-01 15:57:00,0,24.10337,120.745
DLV-20250901-00143,R-07,D-10,2025-09-01 19:16:00,2025-09-01 19:13:57,2025-09-01 18:46:00,2025-09-01 19:46:00,0,24.11154,120.72746
DLV-20250901-00144,R-07,D-08,2025-09-01 14:51:00,2025-09-01 14:55:54,2025-09-01 14:32:00,2025-09-01 15:10:00,0,24.09192,120.76493
DLV-20250901-00145,R-07,D-10,2025-09-01 19:07:00,2025-09-01 18:59:43,2025-09-01 18:39:00,2025-09-01 19:35:00,0,24.10268,120.79747
DLV-20250901-00146,R-08,D-06,2025-09-01 10:36:00,2025-09-01 11:31:00,2025-09-01 09:19:00,2025-09-01 11:53:00,0,24.25866,120.64763
DLV-20250901-00147,R-08,D-06,2025-09-01 10:48:00,2025-09-01 11:50:00,2025-09-01 09:30:00,2025-09-01 12:06:00,0,24.31458,120.64761
DLV-20250901-00148,R-08,D-09,2025-09-01 18:43:00,2025-09-01 18:48:22,2025-09-01 18:20:00,2025-09-01 19:06:00,1,24.27186,120.64099
DLV-20250901-00149,R-08,D-06,2025-09-01 14:00:00,2025-09-01 14:02:47,2025-09-01 13:33:00,2025-09-01 14:27:00,0,24.30928,120.65774
DLV-20250901-00150,R-08,D-03,2025-09-01 17:13:00,2025-09-01 17:19:03,2025-09-01 16:46:00,2025-09-01 17:40:00,0,24.27727,120.6096
DLV-20250901-00151,R-08,D-09,2025-09-01 14:49:00,2025-09-01 15:04:04,2025-09-01 14:33:00,2025-09-01 15:05:00,0,24.31035,120.58398
DLV-20250901-00152,R-08,D-03,2025-09-01 13:28:00,2025-09-01 13:22:11,2025-09-01 13:00:00,2025-09-01 13:56:00,0,24.28536,120.60185
DLV-20250901-00153,R-08,D-09,2025-09-01 10:22:00,2025-09-01 10:13:08,2025-09-01 09:52:00,2025-09-01 10:52:00,0,24.27467,120.59764
DLV-20250901-00154,R-08,D-09,2025-09-01 09:00:00,2025-09-01 09:04:10,2025-09-01 08:39:00,2025-09-01 09:21:00,0,24.2669,120.59098
DLV-20250901-00155,R-08,D-06,2025-09-01 13:20:00,2025-09-01 13:30:15,2025-09-01 12:52:00,2025-09-01 13:48:00,0,24.28042,120.63629
DLV-20250901-00156,R-08,D-09,2025-09-01 17:53:00,2025-09-01 18:02:38,2025-09-01 17:27:00,2025-09-01 18:19:00,0,24.31894,120.58338
DLV-20250901-00157,R-08,D-03,2025-09-01 16:58:00,2025-09-01 17:07:10,2025-09-01 16:30:00,2025-09-01 17:26:00,0,24.30676,120.61342
DLV-20250901-00158,R-08,D-03,2025-09-01 15:01:00,2025-09-01 15:05:53,2025-09-01 14:36:00,2025-09-01 15:26:00,0,24.32581,120.61681
DLV-20250901-00159,R-08,D-09,2025-09-01 14:05:00,2025-09-01 13:59:45,2025-09-01 13:37:00,2025-09-01 14:33:00,0,24.29192,120.61166
DLV-20250901-00160,R-08,D-06,2025-09-01 14:14:00,2025-09-01 14:16:11,2025-09-01 13:49:00,2025-09-01 14:39:00,0,24.25611,120.63066
DLV-20250901-00161,R-08,D-09,2025-09-01 17:12:00,2025-09-01 17:21:14,2025-09-01 16:53:00,2025-09-01 17:31:00,0,24.26172,120.59578
DLV-20250901-00162,R-08,D-09,2025-09-01 11:48:00,2025-09-01 11:41:47,2025-09-01 11:31:00,2025-09-01 12:05:00,0,24.31183,120.61953
DLV-20250901-00163,R-08,D-09,2025-09-01 18:28:00,2025-09-01 18:16:12,2025-09-01 18:03:00,2025-09-01 18:53:00,0,24.30018,120.59208
DLV-20250901-00164,R-08,D-03,2025-09-01 16:28:00,2025-09-01 16:13:28,2025-09-01 16:12:00,2025-09-01 16:44:00,0,24.25594,120.61694
DLV-20250901-00165,R-08,D-03,2025-09-01 09:23:00,2025-09-01 09:07:16,2025-09-01 08:59:00,2025-09-01 09:47:00,0,24.31914,120.64842
DLV-20250901-00166,R-08,D-09,2025-09-01 18:32:00,2025-09-01 18:32:32,2025-09-01 18:16:00,2025-09-01 18:48:00,0,24.31479,120.63215
DLV-20250901-00167,R-08,D-06,2025-09-01 18:30:00,2025-09-01 18:07:42,2025-09-01 18:01:00,2025-09-01 18:59:00,0,24.32193,120.60748
