銷售單號,SKU,客戶,出貨量,出貨日
SO-20250601-00052,S-1032,C-029,1,2025-06-01
SO-20250601-00053,S-1034,C-016,4,2025-06-01
SO-20250601-00054,S-1034,C-017,4,2025-06-01
SO-20250601-00055,S-1034,C-004,1,2025-06-01
SO-20250601-00056,S-1035,C-040,4,2025-06-01
SO-20250601-00057,S-1035,C-028,1,2025-06-01
SO-20250601-00058,S-1036,C-017,7,2025-06-01
SO-20250601-00059,S-1036,C-032,4,2025-06-01
SO-20250601-00060,S-1036,C-003,3,2025-06-01
SO-20250601-00061,S-1038,C-010,1,2025-06-01
SO-20250601-00062,S-1038,C-021,6,2025-06-01
SO-20250601-00063,S-1039,C-015,1,2025-06-01
SO-20250601-00064,S-1039,C-007,2,2025-06-01
SO-20250601-00065,S-1039,C-019,2,2025-06-01
SO-20250601-00066,S-1042,C-014,3,2025-06-01
SO-20250601-00067,S-1042,C-004,3,2025-06-01
SO-20250601-00068,S-1042,C-012,1,2025-06-01
SO-20250601-00069,S-1042,C-028,3,2025-06-01
SO-20250601-00070,S-1042,C-009,4,2025-06-01
SO-20250601-00071,S-1043,C-006,3,2025-06-01
SO-20250601-00072,S-1044,C-016,3,2025-06-01
SO-20250601-00073,S-1044,C-001,4,2025-06-01
SO-20250601-00074,S-1044,C-021,6,2025-06-01
SO-20250601-00075,S-1044,C-032,7,2025-06-01
SO-20250601-00076,S-1044,C-002,3,2025-06-01
SO-20250601-00077,S-1045,C-035,4,2025-06-01
SO-20250601-00078,S-1046,C-004,3,2025-06-01
SO-20250601-00079,S-1046,C-030,1,2025-06-01
SO-20250601-00080,S-1047,C-010,4,2025-06-01
SO-20250601-00081,S-1048,C-017,2,2025-06-01
SO-20250601-00082,S-1048,C-018,4,2025-06-01
SO-20250601-00083,S-1048,C-020,4,2025-06-01
SO-20250601-00084,S-1049,C-028,2,2025-06-01
SO-20250601-00085,S-1049,C-008,3,2025-06-01
SO-20250602-00086,S-1001,C-001,4,2025-06-02
SO-20250602-00087,S-1002,C-024,3,2025-06-02
SO-20250602-00088,S-1002,C-029,2,2025-06-02
SO-20250602-00089,S-1002,C-024,2,2025-06-02
SO-20250602-00090,S-1003,C-012,1,2025-06-02
SO-20250602-00091,S-1003,C-006,4,2025-06-02
SO-20250602-00092,S-1003,C-037,6,2025-06-02
SO-20250602-00093,S-1005,C-002,2,2025-06-02
SO-20250602-00094,S-1005,C-025,3,2025-06-02
SO-20250602-00095,S-1005,C-008,4,2025-06-02
SO-20250602-00096,S-1005,C-009,5,2025-06-02
SO-20250602-00097,S-1006,C-008,2,2025-06-02
SO-20250602-00098,S-1006,C-012,3,2025-06-02
SO-20250602-00099,S-1006,C-001,3,2025-06-02
SO-20250602-00100,S-1008,C-031,3,2025-06-02
SO-20250602-00101,S-1011,C-016,2,2025-06-02
SO-20250602-00102,S-1011,C-036,4,2025-06-02
SO-20250602-00103,S-1011,C-030,5,2025-06-02
SO-20250602-00104,S-1011,C-020,5,2025-06-02
SO-20250602-00105,S-1012,C-035,2,2025-06-02
SO-20250602-00106,S-1014,C-016,1,2025-06-02
SO-20250602-00107,S-1014,C-010,1,2025-06-02
SO-20250602-00108,S-1014,C-023,5,2025-06-02
SO-20250602-00109,S-1015,C-001,5,2025-06-02
SO-20250602-00110,S-1016,C-029,3,2025-06-02
SO-20250602-00111,S-1017,C-038,4,2025-06-02
SO-20250602-00112,S-1019,C-006,4,2025-06-02
SO-20250602-00113,S-1020,C-001,1,2025-06-02
SO-20250602-00114,S-1021,C-036,2,2025-06-02
SO-20250602-00115,S-1021,C-002,2,2025-06-02
SO-20250602-00116,S-1021,C-023,2,2025-06-02
SO-20250602-00117,S-1021,C-017,4,2025-06-02
SO-20250602-00118,S-1022,C-015,3,2025-06-02
SO-20250602-00119,S-1022,C-040,1,2025-06-02
SO-20250602-00120,S-1022,C-009,5,2025-06-02
SO-20250602-00121,S-1022,C-021,3,2025-06-02
SO-20250602-00122,S-1022,C-028,6,2025-06-02
SO-20250602-00123,S-1022,C-006,1,2025-06-02
SO-20250602-00124,S-1022,C-011,4,2025-06-02
SO-20250602-00125,S-1023,C-032,2,2025-06-02
SO-20250602-00126,S-1023,C-033,1,2025-06-02
SO-20250602-00127,S-1023,C-017,6,2025-06-02
SO-20250602-00128,S-1024,C-023,3,2025-06-02
SO-20250602-00129,S-1024,C-024,1,2025-06-02
SO-20250602-00130,S-1024,C-032,1,2025-06-02
SO-20250602-00131,S-1024,C-029,5,2025-06-02
SO-20250602-00132,S-1024,C-018,1,2025-06-02
SO-20250602-00133,S-1024,C-039,5,2025-06-02
SO-20250602-00134,S-1024,C-007,2,2025-06-02
SO-20250602-00135,S-1024,C-020,3,2025-06-02
SO-20250602-00136,S-1028,C-020,3,2025-06-02
SO-20250602-00137,S-1028,C-013,2,2025-06-02
SO-20250602-00138,S-1028,C-035,5,2025-06-02
SO-20250602-00139,S-1030,C-004,7,2025-06-02
SO-20250602-00140,S-1030,C-026,2,2025-06-02
SO-20250602-00141,S-1031,C-039,3,2025-06-02
SO-20250602-00142,S-1031,C-023,7,2025-06-02
SO-20250602-00143,S-1033,C-028,7,2025-06-02
SO-20250602-00144,S-1033,C-003,4,2025-06-02
SO-20250602-00145,S-1034,C-034,5,2025-06-02
SO-20250602-00146,S-1035,C-018,3,2025-06-02
SO-20250602-00147,S-1035,C-031,6,2025-06-02
SO-20250602-00148,S-1035,C-007,4,2025-06-02
SO-20250602-00149,S-1035,C-010,6,2025-06-02
SO-20250602-00150,S-1036,C-018,2,2025-06-02
SO-20250602-00151,S-1037,C-003,7,2025-06-02
SO-20250602-00152,S-1039,C-002,5,2025-06-02
SO-20250602-00153,S-1039,C-007,3,2025-06-02
SO-20250602-00154,S-1040,C-016,3,2025-06-02
SO-20250602-00155,S-1040,C-030,3,2025-06-02
SO-20250602-00156,S-1040,C-017,2,2025-06-02
SO-20250602-00157,S-1041,C-004,5,2025-06-02
SO-20250602-00158,S-1042,C-005,1,2025-06-02
SO-20250602-00159,S-1042,C-003,4,2025-06-02
SO-20250602-00160,S-1042,C-037,1,2025-06-02
SO-20250602-00161,S-1042,C-038,1,2025-06-02
SO-20250602-00162,S-1043,C-008,5,2025-06-02
SO-20250602-00163,S-1043,C-002,2,2025-06-02
SO-20250602-00164,S-1044,C-022,3,2025-06-02
SO-20250602-00165,S-1044,C-011,3,2025-06-02
SO-20250602-00166,S-1044,C-019,5,2025-06-02
SO-20250602-00167,S-1044,C-026,1,2025-06-02
SO-20250602-00168,S-1044,C-003,6,2025-06-02
SO-20250602-00169,S-1044,C-033,2,2025-06-02
SO-20250602-00170,S-1045,C-007,4,2025-06-02
SO-20250602-00171,S-1046,C-018,4,2025-06-02
SO-20250602-00172,S-1047,C-015,7,2025-06-02
SO-20250602-00173,S-1047,C-008,6,2025-06-02
SO-20250602-00174,S-1048,C-007,4,2025-06-02
SO-20250602-00175,S-1048,C-025,1,2025-06-02
SO-20250602-00176,S-1048,C-022,6,2025-06-02
SO-20250602-00177,S-1050,C-019,4,2025-06-02
SO-20250603-00178,S-1001,C-022,4,2025-06-03
SO-20250603-00179,S-1001,C-031,6,2025-06-03
SO-20250603-00180,S-1001,C-035,4,2025-06-03
SO-20250603-00181,S-1002,C-040,4,2025-06-03
SO-20250603-00182,S-1003,C-010,3,2025-06-03
SO-20250603-00183,S-1003,C-018,3,2025-06-03
SO-20250603-00184,S-1003,C-019,3,2025-06-03
SO-20250603-00185,S-1004,C-032,3,2025-06-03
SO-20250603-00186,S-1004,C-004,2,2025-06-03
SO-20250603-00187,S-1005,C-020,1,2025-06-03
SO-20250603-00188,S-1005,C-008,2,2025-06-03
SO-20250603-00189,S-1005,C-024,2,2025-06-03
SO-20250603-00190,S-1005,C-038,4,2025-06-03
SO-20250603-00191,S-1010,C-028,4,2025-06-03
SO-20250603-00192,S-1013,C-004,4,2025-06-03
SO-20250603-00193,S-1015,C-038,4,2025-06-03
SO-20250603-00194,S-1016,C-005,2,2025-06-03
SO-20250603-00195,S-1016,C-007,2,2025-06-03
SO-20250603-00196,S-1016,C-004,5,2025-06-03
SO-20250603-00197,S-1017,C-021,5,2025-06-03
SO-20250603-00198,S-1017,C-014,5,2025-06-03
SO-20250603-00199,S-1019,C-029,5,2025-06-03
SO-20250603-00200,S-1020,C-039,1,2025-06-03
SO-20250603-00201,S-1020,C-003,5,2025-06-03
SO-20250603-00202,S-1021,C-011,5,2025-06-03
SO-20250603-00203,S-1021,C-035,3,2025-06-03
SO-20250603-00204,S-1021,C-017,3,2025-06-03
SO-20250603-00205,S-1021,C-020,1,2025-06-03
SO-20250603-00206,S-1022,C-032,3,2025-06-03
SO-20250603-00207,S-1022,C-015,1,2025-06-03
SO-20250603-00208,S-1022,C-014,5,2025-06-03
SO-20250603-00209,S-1022,C-036,2,2025-06-03
SO-20250603-00210,S-1022,C-037,6,2025-06-03
SO-20250603-00211,S-1022,C-039,3,2025-06-03
SO-20250603-00212,S-1022,C-023,4,2025-06-03
SO-20250603-00213,S-1022,C-028,1,2025-06-03
SO-20250603-00214,S-1022,C-026,4,2025-06-03
SO-20250603-00215,S-1022,C-040,7,2025-06-03
SO-20250603-00216,S-1023,C-002,3,2025-06-03
SO-20250603-00217,S-1024,C-015,2,2025-06-03
SO-20250603-00218,S-1024,C-034,2,2025-06-03
SO-20250603-00219,S-1024,C-003,8,2025-06-03
SO-20250603-00220,S-1024,C-033,6,2025-06-03
SO-20250603-00221,S-1024,C-001,6,2025-06-03
SO-20250603-00222,S-1024,C-031,2,2025-06-03
SO-20250603-00223,S-1024,C-002,7,2025-06-03
SO-20250603-00224,S-1024,C-010,4,2025-06-03
SO-20250603-00225,S-1026,C-025,3,2025-06-03
SO-20250603-00226,S-1026,C-013,4,2025-06-03
SO-20250603-00227,S-1026,C-028,8,2025-06-03
SO-20250603-00228,S-1030,C-033,2,2025-06-03
SO-20250603-00229,S-1030,C-035,2,2025-06-03
SO-20250603-00230,S-1030,C-016,6,2025-06-03
SO-20250603-00231,S-1031,C-003,4,2025-06-03
SO-20250603-00232,S-1031,C-010,2,2025-06-03
SO-20250603-00233,S-1031,C-031,4,2025-06-03
SO-20250603-00234,S-1031,C-037,6,2025-06-03
SO-20250603-00235,S-1031,C-016,4,2025-06-03
SO-20250603-00236,S-1033,C-035,4,2025-06-03
SO-20250603-00237,S-1034,C-006,4,2025-06-03
SO-20250603-00238,S-1034,C-021,6,2025-06-03
SO-20250603-00239,S-1035,C-020,1,2025-06-03
SO-20250603-00240,S-1035,C-015,1,2025-06-03
SO-20250603-00241,S-1036,C-012,5,2025-06-03
SO-20250603-00242,S-1037,C-005,6,2025-06-03
SO-20250603-00243,S-1038,C-006,5,2025-06-03
SO-20250603-00244,S-1038,C-008,2,2025-06-03
SO-20250603-00245,S-1039,C-003,3,2025-06-03
SO-20250603-00246,S-1040,C-021,5,2025-06-03
SO-20250603-00247,S-1040,C-004,6,2025-06-03
SO-20250603-00248,S-1041,C-002,2,2025-06-03
SO-20250603-00249,S-1042,C-026,8,2025-06-03
SO-20250603-00250,S-1043,C-040,1,2025-06-03
SO-20250603-00251,S-1043,C-002,3,2025-06-03
SO-20250603-00252,S-1045,C-020,6,2025-06-03
SO-20250603-00253,S-1046,C-009,3,2025-06-03
SO-20250603-00254,S-1047,C-011,1,2025-06-03
SO-20250603-00255,S-1047,C-019,6,2025-06-03
SO-20250603-00256,S-1047,C-019,1,2025-06-03
SO-20250603-00257,S-1047,C-010,1,2025-06-03
SO-20250603-00258,S-1049,C-014,1,2025-06-03
SO-20250603-00259,S-1050,C-025,2,2025-06-03
SO-20250604-00260,S-1001,C-039,4,2025-06-04
SO-20250604-00261,S-1002,C-030,1,2025-06-04
SO-20250604-00262,S-1003,C-034,4,2025-06-04
SO-20250604-00263,S-1003,C-040,1,2025-06-04
SO-20250604-00264,S-1003,C-013,2,2025-06-04
SO-20250604-00265,S-1004,C-012,3,2025-06-04
SO-20250604-00266,S-1005,C-009,5,2025-06-04
SO-20250604-00267,S-1005,C-009,1,2025-06-04
SO-20250604-00268,S-1006,C-011,5,2025-06-04
SO-20250604-00269,S-1006,C-011,5,2025-06-04
SO-20250604-00270,S-1008,C-016,5,2025-06-04
SO-20250604-00271,S-1011,C-002,5,2025-06-04
SO-20250604-00272,S-1011,C-027,2,2025-06-04
SO-20250604-00273,S-1011,C-033,3,2025-06-04
SO-20250604-00274,S-1011,C-016,4,2025-06-04
SO-20250604-00275,S-1012,C-011,5,2025-06-04
SO-20250604-00276,S-1012,C-021,3,2025-06-04
SO-20250604-00277,S-1013,C-026,3,2025-06-04
SO-20250604-00278,S-1016,C-024,5,2025-06-04
SO-20250604-00279,S-1017,C-001,6,2025-06-04
SO-20250604-00280,S-1017,C-018,8,2025-06-04
SO-20250604-00281,S-1020,C-034,5,2025-06-04
SO-20250604-00282,S-1020,C-022,3,2025-06-04
SO-20250604-00283,S-1022,C-015,6,2025-06-04
SO-20250604-00284,S-1022,C-039,3,2025-06-04
SO-20250604-00285,S-1022,C-023,3,2025-06-04
SO-20250604-00286,S-1022,C-032,2,2025-06-04
SO-20250604-00287,S-1022,C-040,1,2025-06-04
SO-20250604-00288,S-1022,C-004,2,2025-06-04
SO-20250604-00289,S-1022,C-002,1,2025-06-04
SO-20250604-00290,S-1023,C-038,7,2025-06-04
SO-20250604-00291,S-1023,C-024,6,2025-06-04
SO-20250604-00292,S-1023,C-017,2,2025-06-04
SO-20250604-00293,S-1024,C-021,2,2025-06-04
SO-20250604-00294,S-1024,C-008,2,2025-06-04
SO-20250604-00295,S-1024,C-009,2,2025-06-04
SO-20250604-00296,S-1026,C-035,3,2025-06-04
SO-20250604-00297,S-1026,C-028,4,2025-06-04
SO-20250604-00298,S-1028,C-017,3,2025-06-04
SO-20250604-00299,S-1028,C-017,6,2025-06-04
SO-20250604-00300,S-1029,C-029,2,2025-06-04
SO-20250604-00301,S-1030,C-036,4,2025-06-04
SO-20250604-00302,S-1032,C-026,5,2025-06-04
SO-20250604-00303,S-1033,C-035,4,2025-06-04
SO-20250604-00304,S-1034,C-026,2,2025-06-04
SO-20250604-00305,S-1035,C-003,2,2025-06-04
SO-20250604-00306,S-1035,C-005,5,2025-06-04
SO-20250604-00307,S-1035,C-028,5,2025-06-04
SO-20250604-00308,S-1036,C-007,5,2025-06-04
SO-20250604-00309,S-1036,C-040,5,2025-06-04
SO-20250604-00310,S-1036,C-034,3,2025-06-04
SO-20250604-00311,S-1037,C-022,4,2025-06-04
SO-20250604-00312,S-1039,C-012,6,2025-06-04
SO-20250604-00313,S-1039,C-002,3,2025-06-04
SO-20250604-00314,S-1039,C-008,2,2025-06-04
SO-20250604-00315,S-1040,C-040,1,2025-06-04
SO-20250604-00316,S-1040,C-028,3,2025-06-04
SO-20250604-00317,S-1040,C-028,4,2025-06-04
SO-20250604-00318,S-1042,C-028,4,2025-06-04
SO-20250604-00319,S-1044,C-034,6,2025-06-04
SO-20250604-00320,S-1045,C-039,4,2025-06-04
SO-20250604-00321,S-1045,C-008,3,2025-06-04
SO-20250604-00322,S-1046,C-032,5,2025-06-04
SO-20250604-00323,S-1046,C-037,5,2025-06-04
SO-20250604-00324,S-1047,C-010,5,2025-06-04
SO-20250604-00325,S-1047,C-012,5,2025-06-04
SO-20250604-00326,S-1047,C-004,2,2025-06-04
SO-20250604-00327,S-1048,C-008,1,2025-06-04
SO-20250604-00328,S-1048,C-039,6,2025-06-04
SO-20250604-00329,S-1048,C-034,5,2025-06-04
SO-20250604-00330,S-1048,C-004,1,2025-06-04
SO-20250604-00331,S-1048,C-035,2,2025-06-04
SO-20250604-00332,S-1049,C-015,1,2025-06-04
SO-20250604-00333,S-1050,C-027,5,2025-06-04
SO-20250605-00334,S-1002,C-006,3,2025-06-05
SO-20250605-00335,S-1002,C-035,2,2025-06-05
SO-20250605-00336,S-1002,C-002,1,2025-06-05
SO-20250605-00337,S-1003,C-029,2,2025-06-05
SO-20250605-00338,S-1003,C-031,4,2025-06-05
SO-20250605-00339,S-1003,C-015,5,2025-06-05
SO-20250605-00340,S-1003,C-010,3,2025-06-05
SO-20250605-00341,S-1003,C-020,3,2025-06-05
SO-20250605-00342,S-1004,C-009,2,2025-06-05
SO-20250605-00343,S-1005,C-013,3,2025-06-05
SO-20250605-00344,S-1006,C-026,2,2025-06-05
SO-20250605-00345,S-1006,C-025,7,2025-06-05
SO-20250605-00346,S-1008,C-020,3,2025-06-05
SO-20250605-00347,S-1011,C-026,5,2025-06-05
SO-20250605-00348,S-1012,C-038,3,2025-06-05
SO-20250605-00349,S-1013,C-018,1,2025-06-05
SO-20250605-00350,S-1013,C-020,2,2025-06-05
SO-20250605-00351,S-1014,C-025,6,2025-06-05
SO-20250605-00352,S-1014,C-012,4,2025-06-05
SO-20250605-00353,S-1016,C-012,6,2025-06-05
SO-20250605-00354,S-1016,C-027,1,2025-06-05
SO-20250605-00355,S-1016,C-007,2,2025-06-05
SO-20250605-00356,S-1017,C-037,4,2025-06-05
SO-20250605-00357,S-1017,C-020,3,2025-06-05
SO-20250605-00358,S-1019,C-039,6,2025-06-05
SO-20250605-00359,S-1019,C-040,5,2025-06-05
SO-20250605-00360,S-1020,C-012,4,2025-06-05
SO-20250605-00361,S-1021,C-033,2,2025-06-05
SO-20250605-00362,S-1021,C-033,5,2025-06-05
SO-20250605-00363,S-1021,C-024,4,2025-06-05
SO-20250605-00364,S-1021,C-027,1,2025-06-05
SO-20250605-00365,S-1022,C-034,5,2025-06-05
SO-20250605-00366,S-1022,C-009,1,2025-06-05
SO-20250605-00367,S-1022,C-007,5,2025-06-05
SO-20250605-00368,S-1023,C-030,2,2025-06-05
SO-20250605-00369,S-1023,C-013,1,2025-06-05
SO-20250605-00370,S-1023,C-032,2,2025-06-05
SO-20250605-00371,S-1024,C-001,3,2025-06-05
SO-20250605-00372,S-1026,C-011,5,2025-06-05
SO-20250605-00373,S-1026,C-003,4,2025-06-05
SO-20250605-00374,S-1026,C-021,4,2025-06-05
SO-20250605-00375,S-1026,C-022,2,2025-06-05
SO-20250605-00376,S-1026,C-023,3,2025-06-05
SO-20250605-00377,S-1028,C-026,5,2025-06-05
SO-20250605-00378,S-1028,C-033,3,2025-06-05
SO-20250605-00379,S-1029,C-036,3,2025-06-05
SO-20250605-00380,S-1029,C-022,1,2025-06-05
SO-20250605-00381,S-1030,C-003,7,2025-06-05
SO-20250605-00382,S-1031,C-031,5,2025-06-05
SO-20250605-00383,S-1032,C-007,4,2025-06-05
SO-20250605-00384,S-1033,C-008,5,2025-06-05
SO-20250605-00385,S-1035,C-010,3,2025-06-05
SO-20250605-00386,S-1035,C-003,6,2025-06-05
SO-20250605-00387,S-1035,C-003,1,2025-06-05
SO-20250605-00388,S-1035,C-006,2,2025-06-05
SO-20250605-00389,S-1036,C-004,6,2025-06-05
SO-20250605-00390,S-1036,C-026,1,2025-06-05
SO-20250605-00391,S-1036,C-010,4,2025-06-05
SO-20250605-00392,S-1036,C-014,6,2025-06-05
SO-20250605-00393,S-1036,C-037,5,2025-06-05
SO-20250605-00394,S-1038,C-002,1,2025-06-05
SO-20250605-00395,S-1038,C-014,1,2025-06-05
SO-20250605-00396,S-1038,C-029,5,2025-06-05
SO-20250605-00397,S-1040,C-009,5,2025-06-05
SO-20250605-00398,S-1042,C-024,1,2025-06-05
SO-20250605-00399,S-1043,C-006,4,2025-06-05
SO-20250605-00400,S-1043,C-027,5,2025-06-05
SO-20250605-00401,S-1045,C-022,1,2025-06-05
SO-20250605-00402,S-1045,C-016,4,2025-06-05
SO-20250605-00403,S-1045,C-032,3,2025-06-05
SO-20250605-00404,S-1045,C-011,6,2025-06-05
SO-20250605-00405,S-1045,C-036,2,2025-06-05
SO-20250605-00406,S-1046,C-034,7,2025-06-05
SO-20250605-00407,S-1047,C-017,2,2025-06-05
SO-20250605-00408,S-1048,C-025,3,2025-06-05
SO-20250605-00409,S-1048,C-002,3,2025-06-05
SO-20250605-00410,S-1048,C-022,1,2025-06-05
SO-20250605-00411,S-1048,C-023,4,2025-06-05
SO-20250605-00412,S-1048,C-001,6,2025-06-05
SO-20250605-00413,S-1049,C-002,5,2025-06-05
SO-20250605-00414,S-1049,C-020,6,2025-06-05
SO-20250605-00415,S-1050,C-012,5,2025-06-05
SO-20250606-00416,S-1001,C-028,1,2025-06-06
SO-20250606-00417,S-1001,C-017,4,2025-06-06
SO-20250606-00418,S-1003,C-017,2,2025-06-06
SO-20250606-00419,S-1004,C-027,3,2025-06-06
SO-20250606-00420,S-1005,C-001,4,2025-06-06
SO-20250606-00421,S-1005,C-005,3,2025-06-06
SO-20250606-00422,S-1005,C-036,1,2025-06-06
SO-20250606-00423,S-1006,C-019,3,2025-06-06
SO-20250606-00424,S-1008,C-010,4,2025-06-06
SO-20250606-00425,S-1010,C-037,3,2025-06-06
SO-20250606-00426,S-1012,C-008,5,2025-06-06
SO-20250606-00427,S-1012,C-028,1,2025-06-06
SO-20250606-00428,S-1013,C-013,1,2025-06-06
SO-20250606-00429,S-1013,C-030,4,2025-06-06
SO-20250606-00430,S-1014,C-026,1,2025-06-06
SO-20250606-00431,S-1014,C-032,1,2025-06-06
SO-20250606-00432,S-1015,C-016,1,2025-06-06
SO-20250606-00433,S-1016,C-010,4,2025-06-06
SO-20250606-00434,S-1016,C-034,2,2025-06-06
SO-20250606-00435,S-1018,C-019,3,2025-06-06
SO-20250606-00436,S-1019,C-002,6,2025-06-06
SO-20250606-00437,S-1019,C-017,2,2025-06-06
SO-20250606-00438,S-1020,C-020,3,2025-06-06
SO-20250606-00439,S-1021,C-015,3,2025-06-06
SO-20250606-00440,S-1021,C-026,1,2025-06-06
SO-20250606-00441,S-1022,C-035,3,2025-06-06
SO-20250606-00442,S-1022,C-024,1,2025-06-06
SO-20250606-00443,S-1022,C-018,7,2025-06-06
SO-20250606-00444,S-1022,C-038,4,2025-06-06
SO-20250606-00445,S-1022,C-034,5,2025-06-06
SO-20250606-00446,S-1022,C-002,2,2025-06-06
SO-20250606-00447,S-1023,C-020,2,2025-06-06
SO-20250606-00448,S-1023,C-004,9,2025-06-06
SO-20250606-00449,S-1024,C-004,5,2025-06-06
SO-20250606-00450,S-1024,C-018,4,2025-06-06
SO-20250606-00451,S-1024,C-031,3,2025-06-06
SO-20250606-00452,S-1024,C-035,3,2025-06-06
SO-20250606-00453,S-1024,C-033,6,2025-06-06
SO-20250606-00454,S-1024,C-032,4,2025-06-06
SO-20250606-00455,S-1024,C-006,3,2025-06-06
SO-20250606-00456,S-1025,C-012,5,2025-06-06
SO-20250606-00457,S-1026,C-040,5,2025-06-06
SO-20250606-00458,S-1028,C-002,4,2025-06-06
SO-20250606-00459,S-1028,C-004,3,2025-06-06
SO-20250606-00460,S-1028,C-022,6,2025-06-06
SO-20250606-00461,S-1030,C-010,5,2025-06-06
SO-20250606-00462,S-1031,C-009,1,2025-06-06
SO-20250606-00463,S-1031,C-028,4,2025-06-06
SO-20250606-00464,S-1032,C-016,8,2025-06-06
SO-20250606-00465,S-1033,C-004,4,2025-06-06
SO-20250606-00466,S-1034,C-032,5,2025-06-06
SO-20250606-00467,S-1034,C-036,1,2025-06-06
SO-20250606-00468,S-1035,C-034,4,2025-06-06
SO-20250606-00469,S-1035,C-016,5,2025-06-06
SO-20250606-00470,S-1035,C-025,4,2025-06-06
SO-20250606-00471,S-1035,C-001,5,2025-06-06
SO-20250606-00472,S-1036,C-031,2,2025-06-06
SO-20250606-00473,S-1037,C-004,3,2025-06-06
SO-20250606-00474,S-1037,C-022,8,2025-06-06
SO-20250606-00475,S-1038,C-036,6,2025-06-06
SO-20250606-00476,S-1039,C-014,1,2025-06-06
SO-20250606-00477,S-1040,C-017,8,2025-06-06
SO-20250606-00478,S-1040,C-012,2,2025-06-06
SO-20250606-00479,S-1041,C-014,1,2025-06-06
SO-20250606-00480,S-1042,C-001,5,2025-06-06
SO-20250606-00481,S-1042,C-009,3,2025-06-06
SO-20250606-00482,S-1043,C-037,6,2025-06-06
SO-20250606-00483,S-1043,C-025,4,2025-06-06
SO-20250606-00484,S-1045,C-009,3,2025-06-06
SO-20250606-00485,S-1045,C-023,5,2025-06-06
SO-20250606-00486,S-1045,C-039,4,2025-06-06
SO-20250606-00487,S-1046,C-010,8,2025-06-06
SO-20250606-00488,S-1047,C-027,4,2025-06-06
SO-20250606-00489,S-1047,C-018,4,2025-06-06
SO-20250606-00490,S-1047,C-018,5,2025-06-06
SO-20250606-00491,S-1048,C-024,2,2025-06-06
SO-20250606-00492,S-1048,C-014,1,2025-06-06
SO-20250606-00493,S-1048,C-037,1,2025-06-06
SO-20250606-00494,S-1048,C-017,5,2025-06-06
SO-20250606-00495,S-1049,C-007,3,2025-06-06
SO-20250607-00496,S-1002,C-024,7,2025-06-07
SO-20250607-00497,S-1002,C-025,8,2025-06-07
SO-20250607-00498,S-1004,C-025,6,2025-06-07
