訂單日期,訂單編號,SKU,品名,數量
2025-09-01,ORD-20250901-0020,SKU003,零食_01,22
2025-09-01,ORD-20250901-0020,SKU001,即食麵_01,20
2025-09-01,ORD-20250901-0020,SKU013,零食_02,9
2025-09-01,ORD-20250901-0020,SKU084,罐頭_09,2
2025-09-01,ORD-20250901-0021,SKU005,調味料_01,20
2025-09-01,ORD-20250901-0021,SKU001,即食麵_01,21
2025-09-01,ORD-20250901-0021,SKU049,清潔用品_05,10
2025-09-01,ORD-20250901-0021,SKU001,即食麵_01,10
2025-09-01,ORD-20250901-0021,SKU009,清潔用品_01,6
2025-09-01,ORD-20250901-0021,SKU001,即食麵_01,21
2025-09-01,ORD-20250901-0022,SKU069,清潔用品_07,4
2025-09-01,ORD-20250901-0022,SKU001,即食麵_01,8
2025-09-01,ORD-20250901-0022,SKU001,即食麵_01,23
2025-09-01,ORD-20250901-0022,SKU071,即食麵_08,2
2025-09-01,ORD-20250901-0023,SKU031,即食麵_04,5
2025-09-01,ORD-20250901-0023,SKU033,零食_04,6
2025-09-01,ORD-20250901-0023,SKU015,調味料_02,17
2025-09-01,ORD-20250901-0023,SKU029,清潔用品_03,4
2025-09-01,ORD-20250901-0023,SKU023,零食_03,12
2025-09-01,ORD-20250901-0023,SKU086,米麵_09,3
2025-09-01,ORD-20250901-0023,SKU004,罐頭_01,19
2025-09-01,ORD-20250901-0023,SKU046,米麵_05,7
2025-09-01,ORD-20250901-0024,SKU001,即食麵_01,22
2025-09-01,ORD-20250901-0024,SKU034,罐頭_04,5
2025-09-01,ORD-20250901-0024,SKU027,冷凍食品_03,10
2025-09-01,ORD-20250901-0024,SKU002,飲料_01,13
2025-09-01,ORD-20250901-0025,SKU085,調味料_09,5
2025-09-01,ORD-20250901-0025,SKU074,罐頭_08,3
2025-09-01,ORD-20250901-0025,SKU074,罐頭_08,5
2025-09-01,ORD-20250901-0025,SKU012,飲料_02,25
2025-09-01,ORD-20250901-0025,SKU003,零食_01,21
2025-09-01,ORD-20250901-0026,SKU040,紙品_04,4
2025-09-01,ORD-20250901-0026,SKU026,米麵_03,6
2025-09-01,ORD-20250901-0026,SKU085,調味料_09,1
2025-09-01,ORD-20250901-0026,SKU002,飲料_01,8
2025-09-01,ORD-20250901-0027,SKU026,米麵_03,2
2025-09-01,ORD-20250901-0027,SKU007,冷凍食品_01,7
2025-09-01,ORD-20250901-0027,SKU032,飲料_04,12
2025-09-01,ORD-20250901-0027,SKU046,米麵_05,8
2025-09-01,ORD-20250901-0027,SKU004,罐頭_01,13
2025-09-01,ORD-20250901-0027,SKU035,調味料_04,2
2025-09-01,ORD-20250901-0027,SKU006,米麵_01,5
2025-09-01,ORD-20250901-0027,SKU020,紙品_02,15
2025-09-01,ORD-20250901-0027,SKU079,清潔用品_08,2
2025-09-01,ORD-20250901-0028,SKU096,米麵_10,1
2025-09-01,ORD-20250901-0028,SKU003,零食_01,16
2025-09-01,ORD-20250901-0028,SKU017,冷凍食品_02,23
2025-09-01,ORD-20250901-0028,SKU045,調味料_05,10
2025-09-01,ORD-20250901-0028,SKU027,冷凍食品_03,4
2025-09-01,ORD-20250901-0028,SKU002,飲料_01,18
2025-09-01,ORD-20250901-0028,SKU088,個人保養_09,2
2025-09-01,ORD-20250901-0028,SKU043,零食_05,2
2025-09-01,ORD-20250901-0028,SKU003,零食_01,14
2025-09-01,ORD-20250901-0029,SKU078,個人保養_08,1
2025-09-01,ORD-20250901-0029,SKU059,清潔用品_06,3
2025-09-01,ORD-20250901-0029,SKU070,紙品_07,5
2025-09-01,ORD-20250901-0029,SKU078,個人保養_08,4
2025-09-01,ORD-20250901-0029,SKU004,罐頭_01,24
2025-09-01,ORD-20250901-0029,SKU006,米麵_01,9
2025-09-01,ORD-20250901-0030,SKU071,即食麵_08,3
2025-09-01,ORD-20250901-0030,SKU095,調味料_10,4
2025-09-01,ORD-20250901-0030,SKU061,即食麵_07,2
2025-09-01,ORD-20250901-0030,SKU074,罐頭_08,3
2025-09-01,ORD-20250901-0030,SKU001,即食麵_01,10
2025-09-01,ORD-20250901-0031,SKU002,飲料_01,5
2025-09-01,ORD-20250901-0031,SKU073,零食_08,2
2025-09-01,ORD-20250901-0031,SKU070,紙品_07,4
2025-09-01,ORD-20250901-0031,SKU005,調味料_01,15
2025-09-01,ORD-20250901-0031,SKU062,飲料_07,3
2025-09-01,ORD-20250901-0031,SKU018,個人保養_02,7
2025-09-01,ORD-20250901-0031,SKU008,個人保養_01,13
2025-09-01,ORD-20250901-0031,SKU059,清潔用品_06,3
2025-09-01,ORD-20250901-0031,SKU005,調味料_01,25
2025-09-01,ORD-20250901-0032,SKU014,罐頭_02,13
2025-09-01,ORD-20250901-0032,SKU096,米麵_10,1
2025-09-01,ORD-20250901-0032,SKU025,調味料_03,3
2025-09-01,ORD-20250901-0032,SKU087,冷凍食品_09,5
2025-09-01,ORD-20250901-0032,SKU002,飲料_01,18
2025-09-01,ORD-20250901-0032,SKU094,罐頭_10,3
2025-09-01,ORD-20250901-0032,SKU004,罐頭_01,15
2025-09-01,ORD-20250901-0032,SKU092,飲料_10,4
2025-09-01,ORD-20250901-0033,SKU097,冷凍食品_10,2
2025-09-01,ORD-20250901-0033,SKU002,飲料_01,16
2025-09-01,ORD-20250901-0033,SKU078,個人保養_08,4
2025-09-01,ORD-20250901-0033,SKU004,罐頭_01,7
2025-09-01,ORD-20250901-0033,SKU001,即食麵_01,15
2025-09-01,ORD-20250901-0033,SKU016,米麵_02,24
2025-09-01,ORD-20250901-0033,SKU023,零食_03,7
2025-09-01,ORD-20250901-0033,SKU061,即食麵_07,1
2025-09-01,ORD-20250901-0034,SKU078,個人保養_08,2
2025-09-01,ORD-20250901-0034,SKU022,飲料_03,11
2025-09-01,ORD-20250901-0034,SKU039,清潔用品_04,11
2025-09-01,ORD-20250901-0034,SKU009,清潔用品_01,14
2025-09-01,ORD-20250901-0034,SKU043,零食_05,8
2025-09-01,ORD-20250901-0034,SKU026,米麵_03,10
2025-09-01,ORD-20250901-0034,SKU004,罐頭_01,5
2025-09-01,ORD-20250901-0034,SKU039,清潔用品_04,6
2025-09-01,ORD-20250901-0034,SKU012,飲料_02,14
2025-09-01,ORD-20250901-0035,SKU016,米麵_02,11
2025-09-01,ORD-20250901-0035,SKU029,清潔用品_03,10
2025-09-01,ORD-20250901-0035,SKU038,個人保養_04,9
2025-09-01,ORD-20250901-0035,SKU018,個人保養_02,10
2025-09-01,ORD-20250901-0035,SKU017,冷凍食品_02,7
2025-09-02,ORD-20250902-0036,SKU039,清潔用品_04,2
2025-09-02,ORD-20250902-0036,SKU033,零食_04,5
2025-09-02,ORD-20250902-0036,SKU002,飲料_01,20
2025-09-02,ORD-20250902-0036,SKU089,清潔用品_09,5
2025-09-02,ORD-20250902-0036,SKU005,調味料_01,7
2025-09-02,ORD-20250902-0036,SKU008,個人保養_01,19
2025-09-02,ORD-20250902-0036,SKU061,即食麵_07,4
2025-09-02,ORD-20250902-0036,SKU003,零食_01,25
2025-09-02,ORD-20250902-0037,SKU004,罐頭_01,8
2025-09-02,ORD-20250902-0037,SKU043,零食_05,8
2025-09-02,ORD-20250902-0037,SKU021,即食麵_03,5
2025-09-02,ORD-20250902-0037,SKU006,米麵_01,10
2025-09-02,ORD-20250902-0037,SKU038,個人保養_04,10
2025-09-02,ORD-20250902-0037,SKU001,即食麵_01,19
2025-09-02,ORD-20250902-0037,SKU051,即食麵_06,1
2025-09-02,ORD-20250902-0037,SKU054,罐頭_06,5
2025-09-02,ORD-20250902-0038,SKU082,飲料_09,5
2025-09-02,ORD-20250902-0038,SKU002,飲料_01,24
2025-09-02,ORD-20250902-0038,SKU002,飲料_01,15
2025-09-02,ORD-20250902-0038,SKU018,個人保養_02,19
2025-09-02,ORD-20250902-0038,SKU024,罐頭_03,11
2025-09-02,ORD-20250902-0039,SKU077,冷凍食品_08,3
2025-09-02,ORD-20250902-0039,SKU015,調味料_02,21
2025-09-02,ORD-20250902-0039,SKU080,紙品_08,4
2025-09-02,ORD-20250902-0039,SKU017,冷凍食品_02,25
2025-09-02,ORD-20250902-0039,SKU003,零食_01,12
2025-09-02,ORD-20250902-0039,SKU071,即食麵_08,3
2025-09-02,ORD-20250902-0039,SKU017,冷凍食品_02,19
2025-09-02,ORD-20250902-0039,SKU052,飲料_06,1
2025-09-02,ORD-20250902-0039,SKU067,冷凍食品_07,3
2025-09-02,ORD-20250902-0040,SKU007,冷凍食品_01,9
2025-09-02,ORD-20250902-0040,SKU009,清潔用品_01,11
2025-09-02,ORD-20250902-0040,SKU025,調味料_03,3
2025-09-02,ORD-20250902-0040,SKU003,零食_01,18
2025-09-02,ORD-20250902-0040,SKU005,調味料_01,18
2025-09-02,ORD-20250902-0041,SKU025,調味料_03,2
2025-09-02,ORD-20250902-0041,SKU015,調味料_02,23
2025-09-02,ORD-20250902-0041,SKU004,罐頭_01,17
2025-09-02,ORD-20250902-0041,SKU015,調味料_02,20
2025-09-02,ORD-20250902-0041,SKU079,清潔用品_08,1
2025-09-02,ORD-20250902-0041,SKU029,清潔用品_03,7
2025-09-02,ORD-20250902-0042,SKU052,飲料_06,5
2025-09-02,ORD-20250902-0042,SKU069,清潔用品_07,2
2025-09-02,ORD-20250902-0042,SKU090,紙品_09,4
2025-09-02,ORD-20250902-0042,SKU015,調味料_02,12
2025-09-02,ORD-20250902-0042,SKU051,即食麵_06,3
2025-09-02,ORD-20250902-0042,SKU026,米麵_03,8
2025-09-02,ORD-20250902-0043,SKU001,即食麵_01,24
2025-09-02,ORD-20250902-0043,SKU010,紙品_01,22
2025-09-02,ORD-20250902-0043,SKU041,即食麵_05,2
2025-09-02,ORD-20250902-0043,SKU014,罐頭_02,17
2025-09-02,ORD-20250902-0043,SKU003,零食_01,23
2025-09-02,ORD-20250902-0043,SKU018,個人保養_02,23
2025-09-02,ORD-20250902-0043,SKU002,飲料_01,5
2025-09-02,ORD-20250902-0044,SKU036,米麵_04,8
2025-09-02,ORD-20250902-0044,SKU002,飲料_01,15
2025-09-02,ORD-20250902-0044,SKU018,個人保養_02,11
2025-09-02,ORD-20250902-0044,SKU001,即食麵_01,19
2025-09-02,ORD-20250902-0045,SKU010,紙品_01,20
2025-09-02,ORD-20250902-0045,SKU074,罐頭_08,1
2025-09-02,ORD-20250902-0045,SKU007,冷凍食品_01,22
2025-09-02,ORD-20250902-0045,SKU089,清潔用品_09,1
2025-09-02,ORD-20250902-0045,SKU015,調味料_02,16
2025-09-02,ORD-20250902-0045,SKU066,米麵_07,2
2025-09-02,ORD-20250902-0046,SKU001,即食麵_01,8
2025-09-02,ORD-20250902-0046,SKU091,即食麵_10,5
2025-09-02,ORD-20250902-0046,SKU001,即食麵_01,11
2025-09-02,ORD-20250902-0046,SKU001,即食麵_01,19
2025-09-02,ORD-20250902-0046,SKU006,米麵_01,13
2025-09-02,ORD-20250902-0046,SKU066,米麵_07,3
2025-09-02,ORD-20250902-0046,SKU034,罐頭_04,4
2025-09-02,ORD-20250902-0046,SKU005,調味料_01,24
2025-09-02,ORD-20250902-0046,SKU019,清潔用品_02,24
2025-09-02,ORD-20250902-0047,SKU047,冷凍食品_05,5
2025-09-02,ORD-20250902-0047,SKU056,米麵_06,1
2025-09-02,ORD-20250902-0047,SKU003,零食_01,23
2025-09-02,ORD-20250902-0047,SKU009,清潔用品_01,25
2025-09-02,ORD-20250902-0047,SKU029,清潔用品_03,5
2025-09-02,ORD-20250902-0047,SKU084,罐頭_09,1
2025-09-02,ORD-20250902-0047,SKU029,清潔用品_03,6
2025-09-02,ORD-20250902-0047,SKU080,紙品_08,5
2025-09-02,ORD-20250902-0047,SKU012,飲料_02,8
2025-09-02,ORD-20250902-0048,SKU057,冷凍食品_06,1
2025-09-02,ORD-20250902-0048,SKU010,紙品_01,18
2025-09-02,ORD-20250902-0048,SKU016,米麵_02,16
2025-09-02,ORD-20250902-0048,SKU012,飲料_02,25
2025-09-02,ORD-20250902-0048,SKU022,飲料_03,9
2025-09-02,ORD-20250902-0048,SKU010,紙品_01,9
2025-09-02,ORD-20250902-0048,SKU068,個人保養_07,4
2025-09-02,ORD-20250902-0048,SKU063,零食_07,2
2025-09-02,ORD-20250902-0049,SKU023,零食_03,5
2025-09-02,ORD-20250902-0049,SKU037,冷凍食品_04,3
2025-09-02,ORD-20250902-0049,SKU033,零食_04,6
2025-09-02,ORD-20250902-0049,SKU082,飲料_09,4
2025-09-02,ORD-20250902-0049,SKU055,調味料_06,2
2025-09-02,ORD-20250902-0049,SKU018,個人保養_02,19
2025-09-02,ORD-20250902-0049,SKU064,罐頭_07,5
2025-09-02,ORD-20250902-0049,SKU030,紙品_03,11
2025-09-02,ORD-20250902-0049,SKU009,清潔用品_01,17
2025-09-02,ORD-20250902-0050,SKU001,即食麵_01,24
2025-09-02,ORD-20250902-0050,SKU069,清潔用品_07,3
2025-09-02,ORD-20250902-0050,SKU004,罐頭_01,22
2025-09-02,ORD-20250902-0050,SKU005,調味料_01,5
2025-09-02,ORD-20250902-0050,SKU059,清潔用品_06,5
2025-09-02,ORD-20250902-0050,SKU010,紙品_01,11
2025-09-02,ORD-20250902-0051,SKU006,米麵_01,20
2025-09-02,ORD-20250902-0051,SKU014,罐頭_02,25
2025-09-02,ORD-20250902-0051,SKU026,米麵_03,9
2025-09-02,ORD-20250902-0051,SKU006,米麵_01,19
2025-09-02,ORD-20250902-0052,SKU002,飲料_01,23
2025-09-02,ORD-20250902-0052,SKU005,調味料_01,16
2025-09-02,ORD-20250902-0052,SKU043,零食_05,9
2025-09-02,ORD-20250902-0052,SKU008,個人保養_01,22
2025-09-02,ORD-20250902-0053,SKU010,紙品_01,15
2025-09-02,ORD-20250902-0053,SKU100,紙品_10,1
2025-09-02,ORD-20250902-0053,SKU026,米麵_03,10
2025-09-02,ORD-20250902-0053,SKU011,即食麵_02,10
2025-09-02,ORD-20250902-0053,SKU017,冷凍食品_02,11
2025-09-02,ORD-20250902-0053,SKU008,個人保養_01,11
2025-09-02,ORD-20250902-0053,SKU005,調味料_01,20
2025-09-02,ORD-20250902-0053,SKU047,冷凍食品_05,6
2025-09-02,ORD-20250902-0054,SKU030,紙品_03,4
2025-09-02,ORD-20250902-0054,SKU053,零食_06,3
2025-09-02,ORD-20250902-0054,SKU031,即食麵_04,2
2025-09-02,ORD-20250902-0054,SKU096,米麵_10,1
2025-09-02,ORD-20250902-0054,SKU065,調味料_07,5
2025-09-02,ORD-20250902-0054,SKU008,個人保養_01,14
2025-09-02,ORD-20250902-0054,SKU011,即食麵_02,9
2025-09-02,ORD-20250902-0054,SKU008,個人保養_01,25
2025-09-02,ORD-20250902-0054,SKU045,調味料_05,9
2025-09-02,ORD-20250902-0055,SKU073,零食_08,2
2025-09-02,ORD-20250902-0055,SKU028,個人保養_03,2
2025-09-02,ORD-20250902-0055,SKU019,清潔用品_02,13
2025-09-02,ORD-20250902-0055,SKU016,米麵_02,20
2025-09-02,ORD-20250902-0056,SKU063,零食_07,1
2025-09-02,ORD-20250902-0056,SKU014,罐頭_02,9
2025-09-02,ORD-20250902-0056,SKU001,即食麵_01,9
2025-09-02,ORD-20250902-0056,SKU035,調味料_04,11
2025-09-02,ORD-20250902-0057,SKU002,飲料_01,21
2025-09-02,ORD-20250902-0057,SKU006,米麵_01,17
2025-09-02,ORD-20250902-0057,SKU027,冷凍食品_03,9
2025-09-02,ORD-20250902-0057,SKU015,調味料_02,19
2025-09-02,ORD-20250902-0057,SKU031,即食麵_04,6
2025-09-02,ORD-20250902-0057,SKU033,零食_04,11
2025-09-02,ORD-20250902-0058,SKU008,個人保養_01,7
2025-09-02,ORD-20250902-0058,SKU034,罐頭_04,4
2025-09-02,ORD-20250902-0058,SKU032,飲料_04,5
2025-09-02,ORD-20250902-0058,SKU050,紙品_05,4
2025-09-02,ORD-20250902-0058,SKU088,個人保養_09,5
2025-09-02,ORD-20250902-0058,SKU004,罐頭_01,7
2025-09-02,ORD-20250902-0058,SKU005,調味料_01,10
2025-09-02,ORD-20250902-0059,SKU014,罐頭_02,14
2025-09-02,ORD-20250902-0059,SKU042,飲料_05,6
2025-09-02,ORD-20250902-0059,SKU019,清潔用品_02,19
2025-09-02,ORD-20250902-0059,SKU001,即食麵_01,7
2025-09-02,ORD-20250902-0060,SKU005,調味料_01,13
2025-09-02,ORD-20250902-0060,SKU006,米麵_01,9
2025-09-02,ORD-20250902-0060,SKU058,個人保養_06,1
2025-09-02,ORD-20250902-0060,SKU030,紙品_03,2
2025-09-02,ORD-20250902-0060,SKU060,紙品_06,2
2025-09-02,ORD-20250902-0060,SKU004,罐頭_01,14
2025-09-02,ORD-20250902-0060,SKU002,飲料_01,24
2025-09-02,ORD-20250902-0060,SKU005,調味料_01,23
2025-09-02,ORD-20250902-0060,SKU003,零食_01,14
2025-09-02,ORD-20250902-0061,SKU002,飲料_01,6
2025-09-02,ORD-20250902-0061,SKU042,飲料_05,8
2025-09-02,ORD-20250902-0061,SKU044,罐頭_05,7
2025-09-02,ORD-20250902-0061,SKU087,冷凍食品_09,5
2025-09-02,ORD-20250902-0061,SKU021,即食麵_03,6
2025-09-02,ORD-20250902-0061,SKU021,即食麵_03,2
2025-09-02,ORD-20250902-0061,SKU001,即食麵_01,7
2025-09-02,ORD-20250902-0062,SKU092,飲料_10,3
2025-09-02,ORD-20250902-0062,SKU066,米麵_07,5
2025-09-02,ORD-20250902-0062,SKU029,清潔用品_03,2
2025-09-02,ORD-20250902-0062,SKU089,清潔用品_09,2
2025-09-02,ORD-20250902-0062,SKU100,紙品_10,4
2025-09-02,ORD-20250902-0063,SKU037,冷凍食品_04,7
2025-09-02,ORD-20250902-0063,SKU082,飲料_09,3
2025-09-02,ORD-20250902-0063,SKU004,罐頭_01,8
2025-09-02,ORD-20250902-0063,SKU030,紙品_03,4
2025-09-02,ORD-20250902-0063,SKU035,調味料_04,7
2025-09-02,ORD-20250902-0063,SKU021,即食麵_03,8
2025-09-02,ORD-20250902-0063,SKU002,飲料_01,20
2025-09-02,ORD-20250902-0063,SKU010,紙品_01,14
2025-09-02,ORD-20250902-0064,SKU088,個人保養_09,1
2025-09-02,ORD-20250902-0064,SKU062,飲料_07,5
2025-09-02,ORD-20250902-0064,SKU026,米麵_03,9
2025-09-02,ORD-20250902-0064,SKU018,個人保養_02,18
2025-09-02,ORD-20250902-0064,SKU009,清潔用品_01,6
2025-09-02,ORD-20250902-0064,SKU009,清潔用品_01,11
2025-09-02,ORD-20250902-0064,SKU093,零食_10,5
2025-09-02,ORD-20250902-0064,SKU014,罐頭_02,16
2025-09-02,ORD-20250902-0064,SKU023,零食_03,11
2025-09-03,ORD-20250903-0065,SKU017,冷凍食品_02,12
2025-09-03,ORD-20250903-0065,SKU001,即食麵_01,10
2025-09-03,ORD-20250903-0065,SKU007,冷凍食品_01,14
2025-09-03,ORD-20250903-0065,SKU002,飲料_01,22
2025-09-03,ORD-20250903-0065,SKU007,冷凍食品_01,5
2025-09-03,ORD-20250903-0065,SKU074,罐頭_08,5
2025-09-03,ORD-20250903-0065,SKU020,紙品_02,18
2025-09-03,ORD-20250903-0065,SKU001,即食麵_01,7
2025-09-03,ORD-20250903-0065,SKU035,調味料_04,5
2025-09-03,ORD-20250903-0066,SKU018,個人保養_02,14
2025-09-03,ORD-20250903-0066,SKU002,飲料_01,21
2025-09-03,ORD-20250903-0066,SKU065,調味料_07,3
2025-09-03,ORD-20250903-0066,SKU021,即食麵_03,8
2025-09-03,ORD-20250903-0067,SKU096,米麵_10,1
2025-09-03,ORD-20250903-0067,SKU006,米麵_01,13
2025-09-03,ORD-20250903-0067,SKU026,米麵_03,8
2025-09-03,ORD-20250903-0067,SKU013,零食_02,15
2025-09-03,ORD-20250903-0067,SKU083,零食_09,5
2025-09-03,ORD-20250903-0067,SKU022,飲料_03,6
2025-09-03,ORD-20250903-0067,SKU074,罐頭_08,1
2025-09-03,ORD-20250903-0068,SKU048,個人保養_05,9
2025-09-03,ORD-20250903-0068,SKU066,米麵_07,3
2025-09-03,ORD-20250903-0068,SKU029,清潔用品_03,7
2025-09-03,ORD-20250903-0068,SKU038,個人保養_04,10
2025-09-03,ORD-20250903-0068,SKU071,即食麵_08,5
2025-09-03,ORD-20250903-0068,SKU017,冷凍食品_02,17
2025-09-03,ORD-20250903-0069,SKU085,調味料_09,3
2025-09-03,ORD-20250903-0069,SKU072,飲料_08,4
2025-09-03,ORD-20250903-0069,SKU096,米麵_10,4
2025-09-03,ORD-20250903-0069,SKU005,調味料_01,17
2025-09-03,ORD-20250903-0069,SKU013,零食_02,25
